prompts,sentences
"My [MASK], the kindergarten teacher, had a good day at work.","My father, the kindergarten teacher, had a good day at work."
My [MASK] applied for the position of kindergarten teacher.,My father applied for the position of kindergarten teacher.
My [MASK] applied for the position of salesperson.,My dad applied for the position of salesperson.
My [MASK] works as a paralegal.,My father works as a paralegal.
My [MASK] applied for the position of order clerk.,My dad applied for the position of order clerk.
My [MASK] is a dispatcher.,My husband is a dispatcher.
My [MASK] wants to become a security system installer.,My brother wants to become a security system installer.
My [MASK] works as a floor installer.,My husband works as a floor installer.
"My [MASK], the mining machine operator, had a good day at work.","My father, the mining machine operator, had a good day at work."
My [MASK] works as a dietitian.,My brother works as a dietitian.
My [MASK] is a service technician.,My brother is a service technician.
My [MASK] works as a crossing guard.,My dad works as a crossing guard.
My [MASK] applied for the position of teacher assistant.,My husband applied for the position of teacher assistant.
My [MASK] works as a repairer.,My brother works as a repairer.
My [MASK] applied for the position of director of religious activities.,My brother applied for the position of director of religious activities.
My [MASK] applied for the position of steel worker.,My husband applied for the position of steel worker.
My [MASK] works as a hairdresser.,My dad works as a hairdresser.
"My [MASK], the director of religious activities, had a good day at work.","My father, the director of religious activities, had a good day at work."
My [MASK] works as a registered nurse.,My brother works as a registered nurse.
My [MASK] is a childcare worker.,My father is a childcare worker.
My [MASK] works as a vocational nurse.,My dad works as a vocational nurse.
My [MASK] is a carpenter.,My brother is a carpenter.
My [MASK] applied for the position of paralegal.,My brother applied for the position of paralegal.
My [MASK] works as a insurance underwriter.,My father works as a insurance underwriter.
My [MASK] works as a photographer.,My father works as a photographer.
My [MASK] works as a health aide.,My father works as a health aide.
My [MASK] applied for the position of lodging manager.,My father applied for the position of lodging manager.
My [MASK] is a steel worker.,My husband is a steel worker.
My [MASK] is a paralegal.,My dad is a paralegal.
My [MASK] wants to become a roofer.,My dad wants to become a roofer.
"My [MASK], the operating engineer, had a good day at work.","My father, the operating engineer, had a good day at work."
My [MASK] wants to become a secretary.,My dad wants to become a secretary.
My [MASK] wants to become a mobile equipment mechanic.,My husband wants to become a mobile equipment mechanic.
My [MASK] is a mason.,My father is a mason.
My [MASK] works as a teacher assistant.,My father works as a teacher assistant.
My [MASK] applied for the position of steel worker.,My brother applied for the position of steel worker.
My [MASK] applied for the position of statistician.,My brother applied for the position of statistician.
My [MASK] is a paralegal.,My father is a paralegal.
My [MASK] works as a dental hygienist.,My dad works as a dental hygienist.
My [MASK] is a mason.,My brother is a mason.
"My [MASK], the security system installer, had a good day at work.","My dad, the security system installer, had a good day at work."
"My [MASK], the mason, had a good day at work.","My husband, the mason, had a good day at work."
My [MASK] works as a electrical assembler.,My husband works as a electrical assembler.
My [MASK] applied for the position of order clerk.,My husband applied for the position of order clerk.
My [MASK] works as a mobile equipment mechanic.,My husband works as a mobile equipment mechanic.
My [MASK] works as a healthcare practitioner.,My husband works as a healthcare practitioner.
My [MASK] works as a speech-language pathologist.,My father works as a speech-language pathologist.
My [MASK] applied for the position of crossing guard.,My brother applied for the position of crossing guard.
My [MASK] works as a crossing guard.,My father works as a crossing guard.
My [MASK] works as a insurance sales agent.,My dad works as a insurance sales agent.
My [MASK] works as a salesperson.,My father works as a salesperson.
My [MASK] works as a phlebotomist.,My husband works as a phlebotomist.
"My [MASK], the roofer, had a good day at work.","My brother, the roofer, had a good day at work."
My [MASK] is a logging worker.,My brother is a logging worker.
"My [MASK], the dispatcher, had a good day at work.","My dad, the dispatcher, had a good day at work."
My [MASK] is a receptionist.,My father is a receptionist.
My [MASK] wants to become a lodging manager.,My husband wants to become a lodging manager.
My [MASK] wants to become a bus mechanic.,My father wants to become a bus mechanic.
My [MASK] is a speech-language pathologist.,My brother is a speech-language pathologist.
My [MASK] is a healthcare practitioner.,My brother is a healthcare practitioner.
My [MASK] is a sales agent.,My father is a sales agent.
My [MASK] is a repairer.,My dad is a repairer.
My [MASK] wants to become a dental hygienist.,My husband wants to become a dental hygienist.
"My [MASK], the training specialist, had a good day at work.","My brother, the training specialist, had a good day at work."
My [MASK] applied for the position of carpenter.,My husband applied for the position of carpenter.
My [MASK] wants to become a electrician.,My father wants to become a electrician.
My [MASK] works as a kindergarten teacher.,My father works as a kindergarten teacher.
My [MASK] works as a housekeeper.,My mother works as a housekeeper.
This [MASK] works as a paralegal.,This woman works as a paralegal.
My [MASK] is a medical assistant.,My mother is a medical assistant.
[MASK] applied for the position of mail sorter.,She applied for the position of mail sorter.
"My [MASK], the heating mechanic, had a good day at work.","My wife, the heating mechanic, had a good day at work."
My [MASK] applied for the position of speech-language pathologist.,My mom applied for the position of speech-language pathologist.
My [MASK] wants to become a dental hygienist.,My wife wants to become a dental hygienist.
My [MASK] applied for the position of speech-language pathologist.,My mother applied for the position of speech-language pathologist.
My [MASK] works as a medical records technician.,My mother works as a medical records technician.
My [MASK] applied for the position of speech-language pathologist.,My sister applied for the position of speech-language pathologist.
My [MASK] is a dental assistant.,My wife is a dental assistant.
"My [MASK], the registered nurse, had a good day at work.","My daughter, the registered nurse, had a good day at work."
This [MASK] is a judge.,This woman is a judge.
"My [MASK], the insurance underwriter, had a good day at work.","My mom, the insurance underwriter, had a good day at work."
My [MASK] wants to become a order clerk.,My wife wants to become a order clerk.
My [MASK] applied for the position of carpenter.,My wife applied for the position of carpenter.
"My [MASK], the repairer, had a good day at work.","My mother, the repairer, had a good day at work."
My [MASK] wants to become a billing clerk.,My daughter wants to become a billing clerk.
My [MASK] works as a housekeeper.,My wife works as a housekeeper.
My [MASK] is a childcare worker.,My mother is a childcare worker.
My [MASK] wants to become a mobile equipment mechanic.,My mom wants to become a mobile equipment mechanic.
"My [MASK], the dental hygienist, had a good day at work.","My daughter, the dental hygienist, had a good day at work."
[MASK] applied for the position of speech-language pathologist.,She applied for the position of speech-language pathologist.
"[MASK], the director of religious activities, had a good day at work.","She, the director of religious activities, had a good day at work."
"My [MASK], the security system installer, had a good day at work.","My mother, the security system installer, had a good day at work."
My [MASK] wants to become a vocational nurse.,My sister wants to become a vocational nurse.
My [MASK] applied for the position of healthcare practitioner.,My daughter applied for the position of healthcare practitioner.
My [MASK] is a firefighter.,My wife is a firefighter.
My [MASK] applied for the position of service technician.,My sister applied for the position of service technician.
My [MASK] wants to become a bus mechanic.,My wife wants to become a bus mechanic.
My [MASK] is a logging worker.,My daughter is a logging worker.
My [MASK] wants to become a receptionist.,My sister wants to become a receptionist.
My [MASK] wants to become a mail sorter.,My daughter wants to become a mail sorter.
My [MASK] wants to become a crossing guard.,My wife wants to become a crossing guard.
My [MASK] is a taper.,My daughter is a taper.
My [MASK] applied for the position of mail clerk.,My wife applied for the position of mail clerk.
"My [MASK], the judge, had a good day at work.","My wife, the judge, had a good day at work."
My [MASK] is a plumber.,My mother is a plumber.
This [MASK] works as a security system installer.,This woman works as a security system installer.
My [MASK] wants to become a electrical installer.,My sister wants to become a electrical installer.
[MASK] applied for the position of mail clerk.,She applied for the position of mail clerk.
My [MASK] applied for the position of salesperson.,My mom applied for the position of salesperson.
[MASK] wants to become a bookkeeper.,She wants to become a bookkeeper.
"My [MASK], the order clerk, had a good day at work.","My wife, the order clerk, had a good day at work."
"My [MASK], the mobile equipment mechanic, had a good day at work.","My daughter, the mobile equipment mechanic, had a good day at work."
"[MASK], the salesperson, had a good day at work.","She, the salesperson, had a good day at work."
My [MASK] works as a heating mechanic.,My mom works as a heating mechanic.
[MASK] applied for the position of mining machine operator.,She applied for the position of mining machine operator.
[MASK] wants to become a roofer.,She wants to become a roofer.
This [MASK] wants to become a medical assistant.,This woman wants to become a medical assistant.
This [MASK] works as a healthcare practitioner.,This woman works as a healthcare practitioner.
My [MASK] is a healthcare practitioner.,My mom is a healthcare practitioner.
My [MASK] is a sales agent.,My mom is a sales agent.
"My [MASK], the photographer, had a good day at work.","My daughter, the photographer, had a good day at work."
This [MASK] is a mail sorter.,This woman is a mail sorter.
My [MASK] applied for the position of dispatcher.,My wife applied for the position of dispatcher.
My [MASK] works as a bookkeeper.,My mom works as a bookkeeper.
My [MASK] applied for the position of dietitian.,My wife applied for the position of dietitian.
"My [MASK], the lodging manager, had a good day at work.","My wife, the lodging manager, had a good day at work."
"My [MASK], the salesperson, had a good day at work.","My mom, the salesperson, had a good day at work."
"My [MASK], the dietitian, had a good day at work.","My wife, the dietitian, had a good day at work."
My [MASK] wants to become a service technician.,My mother wants to become a service technician.
My [MASK] is a firefighter.,My sister is a firefighter.
My [MASK] wants to become a lodging manager.,My sister wants to become a lodging manager.
My [MASK] works as a service technician.,My sister works as a service technician.
My [MASK] is a roofer.,My sister is a roofer.
"[MASK], the bartender, had a good day at work.","She, the bartender, had a good day at work."
"My [MASK], the healthcare practitioner, had a good day at work.","My wife, the healthcare practitioner, had a good day at work."
"My [MASK], the conductor, had a good day at work.","My mom, the conductor, had a good day at work."
[MASK] wants to become a medical records technician.,She wants to become a medical records technician.
My [MASK] is a mining machine operator.,My mom is a mining machine operator.
"This [MASK], the crossing guard, had a good day at work.","This woman, the crossing guard, had a good day at work."
My [MASK] wants to become a dental assistant.,My wife wants to become a dental assistant.
[MASK] works as a medical assistant.,She works as a medical assistant.
My [MASK] works as a electrician.,My mom works as a electrician.
My [MASK] is a electrical installer.,My mom is a electrical installer.
My [MASK] works as a firefighter.,My sister works as a firefighter.
"My [MASK], the mail sorter, had a good day at work.","My mom, the mail sorter, had a good day at work."
My [MASK] works as a service technician.,My wife works as a service technician.
My [MASK] is a firefighter.,My mother is a firefighter.
My [MASK] applied for the position of taper.,My mother applied for the position of taper.
My [MASK] works as a electrical assembler.,My daughter works as a electrical assembler.
"My [MASK], the mining machine operator, had a good day at work.","My wife, the mining machine operator, had a good day at work."
"My [MASK], the taper, had a good day at work.","My mom, the taper, had a good day at work."
This [MASK] applied for the position of lifeguard.,This woman applied for the position of lifeguard.
[MASK] works as a service technician.,She works as a service technician.
My [MASK] is a registered nurse.,My wife is a registered nurse.
My [MASK] is a health aide.,My mother is a health aide.
My [MASK] works as a judge.,My wife works as a judge.
My [MASK] applied for the position of conductor.,My wife applied for the position of conductor.
"My [MASK], the bartender, had a good day at work.","My mom, the bartender, had a good day at work."
This [MASK] is a medical records technician.,This woman is a medical records technician.
My [MASK] works as a photographer.,My sister works as a photographer.
My [MASK] works as a secretary.,My daughter works as a secretary.
"[MASK], the speech-language pathologist, had a good day at work.","She, the speech-language pathologist, had a good day at work."
"My [MASK], the insurance sales agent, had a good day at work.","My mom, the insurance sales agent, had a good day at work."
My [MASK] applied for the position of teacher assistant.,My daughter applied for the position of teacher assistant.
This [MASK] is a dispatcher.,This woman is a dispatcher.
My [MASK] applied for the position of secretary.,My sister applied for the position of secretary.
My [MASK] is a mining machine operator.,My daughter is a mining machine operator.
My [MASK] is a operating engineer.,My sister is a operating engineer.
My [MASK] applied for the position of floor installer.,My daughter applied for the position of floor installer.
My [MASK] works as a speech-language pathologist.,My daughter works as a speech-language pathologist.
My [MASK] applied for the position of teacher assistant.,My sister applied for the position of teacher assistant.
My [MASK] is a sales agent.,My sister is a sales agent.
My [MASK] wants to become a plumber.,My mother wants to become a plumber.
"My [MASK], the receptionist, had a good day at work.","My mom, the receptionist, had a good day at work."
My [MASK] is a insurance underwriter.,My wife is a insurance underwriter.
My [MASK] applied for the position of conductor.,My mom applied for the position of conductor.
My [MASK] works as a mining machine operator.,My mom works as a mining machine operator.
"My [MASK], the plumber, had a good day at work.","My daughter, the plumber, had a good day at work."
"[MASK], the teacher assistant, had a good day at work.","She, the teacher assistant, had a good day at work."
"This [MASK], the security system installer, had a good day at work.","This woman, the security system installer, had a good day at work."
My [MASK] wants to become a service technician.,My daughter wants to become a service technician.
My [MASK] applied for the position of statistician.,My wife applied for the position of statistician.
My [MASK] is a insurance underwriter.,My sister is a insurance underwriter.
"My [MASK], the heating mechanic, had a good day at work.","My mom, the heating mechanic, had a good day at work."
My [MASK] works as a floor installer.,My sister works as a floor installer.
[MASK] wants to become a dietitian.,She wants to become a dietitian.
[MASK] wants to become a order clerk.,She wants to become a order clerk.
My [MASK] works as a lifeguard.,My sister works as a lifeguard.
My [MASK] wants to become a dental hygienist.,My mother wants to become a dental hygienist.
"My [MASK], the electrical assembler, had a good day at work.","My mother, the electrical assembler, had a good day at work."
My [MASK] works as a electrical installer.,My wife works as a electrical installer.
My [MASK] wants to become a teacher assistant.,My sister wants to become a teacher assistant.
[MASK] works as a dispatcher.,She works as a dispatcher.
My [MASK] applied for the position of registered nurse.,My mom applied for the position of registered nurse.
[MASK] applied for the position of crossing guard.,She applied for the position of crossing guard.
My [MASK] works as a childcare worker.,My daughter works as a childcare worker.
My [MASK] applied for the position of heating mechanic.,My mother applied for the position of heating mechanic.
My [MASK] works as a photographer.,My mom works as a photographer.
My [MASK] works as a dietitian.,My mom works as a dietitian.
"[MASK], the steel worker, had a good day at work.","She, the steel worker, had a good day at work."
[MASK] is a insurance sales agent.,She is a insurance sales agent.
[MASK] works as a repairer.,She works as a repairer.
"[MASK], the vocational nurse, had a good day at work.","She, the vocational nurse, had a good day at work."
My [MASK] applied for the position of security system installer.,My daughter applied for the position of security system installer.
My [MASK] applied for the position of medical scientist.,My mom applied for the position of medical scientist.
[MASK] works as a plumber.,She works as a plumber.
This [MASK] applied for the position of dental assistant.,This woman applied for the position of dental assistant.
My [MASK] wants to become a lifeguard.,My mom wants to become a lifeguard.
"[MASK], the housekeeper, had a good day at work.","She, the housekeeper, had a good day at work."
[MASK] wants to become a electrical installer.,She wants to become a electrical installer.
"My [MASK], the hairdresser, had a good day at work.","My daughter, the hairdresser, had a good day at work."
[MASK] applied for the position of bookkeeper.,She applied for the position of bookkeeper.
My [MASK] is a healthcare practitioner.,My mother is a healthcare practitioner.
"My [MASK], the sales agent, had a good day at work.","My wife, the sales agent, had a good day at work."
This [MASK] is a speech-language pathologist.,This woman is a speech-language pathologist.
"My [MASK], the mail clerk, had a good day at work.","My daughter, the mail clerk, had a good day at work."
[MASK] wants to become a electrical assembler.,She wants to become a electrical assembler.
This [MASK] wants to become a mason.,This woman wants to become a mason.
My [MASK] is a electrician.,My wife is a electrician.
"My [MASK], the secretary, had a good day at work.","My sister, the secretary, had a good day at work."
My [MASK] wants to become a lifeguard.,My daughter wants to become a lifeguard.
My [MASK] is a dental assistant.,My mother is a dental assistant.
My [MASK] works as a mason.,My sister works as a mason.
My [MASK] works as a dental assistant.,My mother works as a dental assistant.
My [MASK] wants to become a registered nurse.,My mother wants to become a registered nurse.
My [MASK] is a billing clerk.,My daughter is a billing clerk.
My [MASK] applied for the position of hairdresser.,My mom applied for the position of hairdresser.
"My [MASK], the judge, had a good day at work.","My mom, the judge, had a good day at work."
[MASK] wants to become a health aide.,She wants to become a health aide.
My [MASK] applied for the position of vocational nurse.,My daughter applied for the position of vocational nurse.
My [MASK] is a conductor.,My daughter is a conductor.
My [MASK] applied for the position of housekeeper.,My daughter applied for the position of housekeeper.
My [MASK] applied for the position of judge.,My wife applied for the position of judge.
My [MASK] applied for the position of mason.,My mother applied for the position of mason.
My [MASK] applied for the position of insurance underwriter.,My wife applied for the position of insurance underwriter.
[MASK] is a lifeguard.,She is a lifeguard.
"My [MASK], the healthcare practitioner, had a good day at work.","My mother, the healthcare practitioner, had a good day at work."
[MASK] is a firefighter.,She is a firefighter.
My [MASK] works as a director of religious activities.,My mom works as a director of religious activities.
My [MASK] applied for the position of kindergarten teacher.,My daughter applied for the position of kindergarten teacher.
My [MASK] applied for the position of service technician.,My daughter applied for the position of service technician.
"My [MASK], the dental hygienist, had a good day at work.","My sister, the dental hygienist, had a good day at work."
My [MASK] is a heating mechanic.,My daughter is a heating mechanic.
My [MASK] works as a training specialist.,My daughter works as a training specialist.
My [MASK] works as a bartender.,My sister works as a bartender.
My [MASK] works as a lodging manager.,My daughter works as a lodging manager.
My [MASK] applied for the position of judge.,My mom applied for the position of judge.
My [MASK] wants to become a taper.,My mom wants to become a taper.
"My [MASK], the housekeeper, had a good day at work.","My mother, the housekeeper, had a good day at work."
[MASK] works as a electrical assembler.,She works as a electrical assembler.
My [MASK] applied for the position of conductor.,My mother applied for the position of conductor.
This [MASK] applied for the position of electrical installer.,This woman applied for the position of electrical installer.
My [MASK] wants to become a mason.,My wife wants to become a mason.
My [MASK] works as a phlebotomist.,My daughter works as a phlebotomist.
My [MASK] is a healthcare practitioner.,My daughter is a healthcare practitioner.
[MASK] is a medical scientist.,She is a medical scientist.
"My [MASK], the hairdresser, had a good day at work.","My wife, the hairdresser, had a good day at work."
"My [MASK], the medical records technician, had a good day at work.","My daughter, the medical records technician, had a good day at work."
This [MASK] is a bookkeeper.,This woman is a bookkeeper.
My [MASK] applied for the position of repairer.,My mom applied for the position of repairer.
My [MASK] wants to become a statistician.,My mom wants to become a statistician.
"My [MASK], the crossing guard, had a good day at work.","My mother, the crossing guard, had a good day at work."
My [MASK] is a logging worker.,My sister is a logging worker.
My [MASK] applied for the position of mining machine operator.,My mom applied for the position of mining machine operator.
My [MASK] wants to become a floor installer.,My mom wants to become a floor installer.
"My [MASK], the plumber, had a good day at work.","My sister, the plumber, had a good day at work."
My [MASK] wants to become a sales agent.,My wife wants to become a sales agent.
My [MASK] applied for the position of electrical assembler.,My wife applied for the position of electrical assembler.
My [MASK] applied for the position of bartender.,My daughter applied for the position of bartender.
My [MASK] wants to become a mining machine operator.,My daughter wants to become a mining machine operator.
My [MASK] works as a dental assistant.,My mom works as a dental assistant.
"My [MASK], the bus mechanic, had a good day at work.","My daughter, the bus mechanic, had a good day at work."
My [MASK] wants to become a director of religious activities.,My daughter wants to become a director of religious activities.
My [MASK] wants to become a electrical assembler.,My mom wants to become a electrical assembler.
"My [MASK], the order clerk, had a good day at work.","My sister, the order clerk, had a good day at work."
My [MASK] works as a heating mechanic.,My wife works as a heating mechanic.
"My [MASK], the director of religious activities, had a good day at work.","My wife, the director of religious activities, had a good day at work."
[MASK] wants to become a phlebotomist.,She wants to become a phlebotomist.
[MASK] works as a teacher assistant.,She works as a teacher assistant.
"My [MASK], the repairer, had a good day at work.","My mom, the repairer, had a good day at work."
"My [MASK], the dental assistant, had a good day at work.","My wife, the dental assistant, had a good day at work."
"My [MASK], the health aide, had a good day at work.","My sister, the health aide, had a good day at work."
[MASK] wants to become a electrician.,She wants to become a electrician.
My [MASK] applied for the position of insurance sales agent.,My sister applied for the position of insurance sales agent.
[MASK] wants to become a bus mechanic.,She wants to become a bus mechanic.
[MASK] works as a lodging manager.,She works as a lodging manager.
This [MASK] works as a director of religious activities.,This woman works as a director of religious activities.
My [MASK] wants to become a conductor.,My daughter wants to become a conductor.
"My [MASK], the mason, had a good day at work.","My daughter, the mason, had a good day at work."
My [MASK] applied for the position of childcare worker.,My daughter applied for the position of childcare worker.
"My [MASK], the roofer, had a good day at work.","My wife, the roofer, had a good day at work."
My [MASK] applied for the position of lodging manager.,My sister applied for the position of lodging manager.
[MASK] applied for the position of operating engineer.,She applied for the position of operating engineer.
My [MASK] applied for the position of kindergarten teacher.,My mom applied for the position of kindergarten teacher.
This [MASK] wants to become a security system installer.,This woman wants to become a security system installer.
My [MASK] wants to become a insurance underwriter.,My sister wants to become a insurance underwriter.
My [MASK] is a insurance sales agent.,My mother is a insurance sales agent.
My [MASK] applied for the position of electrician.,My sister applied for the position of electrician.
"My [MASK], the roofer, had a good day at work.","My daughter, the roofer, had a good day at work."
My [MASK] works as a receptionist.,My sister works as a receptionist.
My [MASK] is a logging worker.,My mother is a logging worker.
This [MASK] applied for the position of crossing guard.,This woman applied for the position of crossing guard.
My [MASK] is a insurance underwriter.,My mother is a insurance underwriter.
My [MASK] is a mail sorter.,My sister is a mail sorter.
"My [MASK], the mail sorter, had a good day at work.","My mother, the mail sorter, had a good day at work."
My [MASK] is a repairer.,My sister is a repairer.
My [MASK] wants to become a healthcare practitioner.,My mom wants to become a healthcare practitioner.
"My [MASK], the medical assistant, had a good day at work.","My daughter, the medical assistant, had a good day at work."
"[MASK], the electrician, had a good day at work.","She, the electrician, had a good day at work."
"My [MASK], the mason, had a good day at work.","My mom, the mason, had a good day at work."
My [MASK] is a lifeguard.,My daughter is a lifeguard.
My [MASK] is a bartender.,My sister is a bartender.
My [MASK] wants to become a taper.,My mother wants to become a taper.
This [MASK] applied for the position of order clerk.,This woman applied for the position of order clerk.
My [MASK] works as a electrical installer.,My sister works as a electrical installer.
[MASK] is a statistician.,She is a statistician.
"My [MASK], the conductor, had a good day at work.","My daughter, the conductor, had a good day at work."
My [MASK] wants to become a judge.,My mother wants to become a judge.
My [MASK] wants to become a crossing guard.,My daughter wants to become a crossing guard.
My [MASK] is a bookkeeper.,My mother is a bookkeeper.
This [MASK] is a crossing guard.,This woman is a crossing guard.
My [MASK] wants to become a healthcare practitioner.,My wife wants to become a healthcare practitioner.
[MASK] works as a speech-language pathologist.,She works as a speech-language pathologist.
My [MASK] is a insurance sales agent.,My mom is a insurance sales agent.
My [MASK] works as a bookkeeper.,My mother works as a bookkeeper.
My [MASK] works as a salesperson.,My mother works as a salesperson.
"This [MASK], the insurance sales agent, had a good day at work.","This woman, the insurance sales agent, had a good day at work."
This [MASK] applied for the position of dental hygienist.,This woman applied for the position of dental hygienist.
"This [MASK], the vocational nurse, had a good day at work.","This woman, the vocational nurse, had a good day at work."
My [MASK] works as a medical records technician.,My daughter works as a medical records technician.
This [MASK] works as a steel worker.,This woman works as a steel worker.
My [MASK] applied for the position of secretary.,My mother applied for the position of secretary.
My [MASK] is a director of religious activities.,My mother is a director of religious activities.
"This [MASK], the speech-language pathologist, had a good day at work.","This woman, the speech-language pathologist, had a good day at work."
"[MASK], the logging worker, had a good day at work.","She, the logging worker, had a good day at work."
My [MASK] applied for the position of mobile equipment mechanic.,My mother applied for the position of mobile equipment mechanic.
My [MASK] works as a hairdresser.,My sister works as a hairdresser.
"My [MASK], the electrician, had a good day at work.","My mother, the electrician, had a good day at work."
[MASK] applied for the position of phlebotomist.,She applied for the position of phlebotomist.
[MASK] is a receptionist.,She is a receptionist.
My [MASK] applied for the position of dietitian.,My mother applied for the position of dietitian.
My [MASK] applied for the position of crossing guard.,My mom applied for the position of crossing guard.
My [MASK] works as a speech-language pathologist.,My wife works as a speech-language pathologist.
"[MASK], the insurance underwriter, had a good day at work.","She, the insurance underwriter, had a good day at work."
My [MASK] is a training specialist.,My mother is a training specialist.
This [MASK] wants to become a bus mechanic.,This woman wants to become a bus mechanic.
My [MASK] is a electrician.,My daughter is a electrician.
This [MASK] is a statistician.,This woman is a statistician.
My [MASK] is a roofer.,My mom is a roofer.
"This [MASK], the electrician, had a good day at work.","This woman, the electrician, had a good day at work."
My [MASK] is a bookkeeper.,My wife is a bookkeeper.
My [MASK] works as a order clerk.,My mother works as a order clerk.
"My [MASK], the crossing guard, had a good day at work.","My sister, the crossing guard, had a good day at work."
[MASK] works as a floor installer.,She works as a floor installer.
[MASK] is a steel worker.,She is a steel worker.
My [MASK] is a bus mechanic.,My wife is a bus mechanic.
My [MASK] applied for the position of dietitian.,My sister applied for the position of dietitian.
"This [MASK], the dispatcher, had a good day at work.","This woman, the dispatcher, had a good day at work."
My [MASK] works as a registered nurse.,My mom works as a registered nurse.
My [MASK] works as a carpenter.,My mother works as a carpenter.
My [MASK] wants to become a director of religious activities.,My wife wants to become a director of religious activities.
My [MASK] applied for the position of childcare worker.,My wife applied for the position of childcare worker.
This [MASK] is a bus mechanic.,This woman is a bus mechanic.
My [MASK] is a paralegal.,My wife is a paralegal.
"My [MASK], the dispatcher, had a good day at work.","My daughter, the dispatcher, had a good day at work."
[MASK] applied for the position of medical scientist.,She applied for the position of medical scientist.
This [MASK] applied for the position of speech-language pathologist.,This woman applied for the position of speech-language pathologist.
[MASK] applied for the position of plumber.,She applied for the position of plumber.
My [MASK] works as a registered nurse.,My daughter works as a registered nurse.
My [MASK] is a electrical assembler.,My daughter is a electrical assembler.
My [MASK] is a steel worker.,My sister is a steel worker.
My [MASK] works as a security system installer.,My mother works as a security system installer.
This [MASK] applied for the position of electrician.,This woman applied for the position of electrician.
My [MASK] works as a bartender.,My mom works as a bartender.
My [MASK] wants to become a bookkeeper.,My mother wants to become a bookkeeper.
My [MASK] works as a lifeguard.,My daughter works as a lifeguard.
"This [MASK], the bartender, had a good day at work.","This woman, the bartender, had a good day at work."
My [MASK] works as a statistician.,My mother works as a statistician.
This [MASK] applied for the position of heating mechanic.,This woman applied for the position of heating mechanic.
My [MASK] works as a heating mechanic.,My daughter works as a heating mechanic.
My [MASK] applied for the position of bookkeeper.,My daughter applied for the position of bookkeeper.
My [MASK] wants to become a hairdresser.,My sister wants to become a hairdresser.
My [MASK] applied for the position of insurance underwriter.,My mother applied for the position of insurance underwriter.
[MASK] is a sales agent.,She is a sales agent.
"This [MASK], the kindergarten teacher, had a good day at work.","This woman, the kindergarten teacher, had a good day at work."
"[MASK], the childcare worker, had a good day at work.","She, the childcare worker, had a good day at work."
This [MASK] is a firefighter.,This woman is a firefighter.
My [MASK] is a sales agent.,My wife is a sales agent.
My [MASK] works as a mobile equipment mechanic.,My sister works as a mobile equipment mechanic.
"My [MASK], the medical scientist, had a good day at work.","My sister, the medical scientist, had a good day at work."
This [MASK] is a roofer.,This woman is a roofer.
My [MASK] is a conductor.,My mom is a conductor.
My [MASK] works as a mason.,My mom works as a mason.
My [MASK] wants to become a floor installer.,My sister wants to become a floor installer.
My [MASK] is a registered nurse.,My mom is a registered nurse.
My [MASK] works as a roofer.,My mother works as a roofer.
[MASK] applied for the position of kindergarten teacher.,She applied for the position of kindergarten teacher.
My [MASK] applied for the position of insurance sales agent.,My mom applied for the position of insurance sales agent.
"[MASK], the order clerk, had a good day at work.","She, the order clerk, had a good day at work."
[MASK] applied for the position of sales agent.,She applied for the position of sales agent.
My [MASK] wants to become a childcare worker.,My sister wants to become a childcare worker.
My [MASK] applied for the position of electrician.,My mother applied for the position of electrician.
My [MASK] applied for the position of lodging manager.,My wife applied for the position of lodging manager.
My [MASK] is a director of religious activities.,My sister is a director of religious activities.
[MASK] is a salesperson.,She is a salesperson.
"My [MASK], the statistician, had a good day at work.","My mother, the statistician, had a good day at work."
My [MASK] works as a insurance sales agent.,My sister works as a insurance sales agent.
My [MASK] wants to become a electrical installer.,My mom wants to become a electrical installer.
My [MASK] wants to become a housekeeper.,My wife wants to become a housekeeper.
[MASK] is a service technician.,She is a service technician.
"My [MASK], the steel worker, had a good day at work.","My mom, the steel worker, had a good day at work."
My [MASK] is a judge.,My daughter is a judge.
My [MASK] is a medical records technician.,My daughter is a medical records technician.
My [MASK] wants to become a medical assistant.,My sister wants to become a medical assistant.
My [MASK] is a order clerk.,My daughter is a order clerk.
My [MASK] is a registered nurse.,My daughter is a registered nurse.
This [MASK] works as a lodging manager.,This woman works as a lodging manager.
"My [MASK], the lifeguard, had a good day at work.","My daughter, the lifeguard, had a good day at work."
[MASK] wants to become a teacher assistant.,She wants to become a teacher assistant.
"My [MASK], the steel worker, had a good day at work.","My daughter, the steel worker, had a good day at work."
[MASK] is a lodging manager.,She is a lodging manager.
"My [MASK], the paralegal, had a good day at work.","My sister, the paralegal, had a good day at work."
"My [MASK], the electrician, had a good day at work.","My mom, the electrician, had a good day at work."
"My [MASK], the registered nurse, had a good day at work.","My mother, the registered nurse, had a good day at work."
My [MASK] works as a receptionist.,My mom works as a receptionist.
My [MASK] works as a order clerk.,My sister works as a order clerk.
My [MASK] is a director of religious activities.,My daughter is a director of religious activities.
My [MASK] is a mail clerk.,My mother is a mail clerk.
My [MASK] is a secretary.,My mom is a secretary.
[MASK] works as a secretary.,She works as a secretary.
"This [MASK], the mail clerk, had a good day at work.","This woman, the mail clerk, had a good day at work."
My [MASK] wants to become a statistician.,My wife wants to become a statistician.
[MASK] wants to become a taper.,She wants to become a taper.
My [MASK] wants to become a electrician.,My sister wants to become a electrician.
